review	label
第一时间不接触热搜才接触？	1
像黑社会	1
教育辅助器材损坏，先行政罚款几百万再说。	1
发生这种事情，但凡有点良知的老师校长都会悲伤，但是校方的公告和回应都是冷冰冰，这种没人性的教育工作者搞教育是我们国家教育之耻！！	2
一问三不知语气里没有对逝去学生哪怕一丁点儿惋惜和抱歉媒体面前都这态度背后对家长的态度可见一斑	1
监控缺失就是心里有鬼！彻查！换家长公道！	2
现在你们不出来发声了吗？？？@共青团中央@紫光阁@中国政府网@国务院公报@光明日报@国台办发布@国务院公报@健康中国@科技日报@联合国@强国论坛@全国人大@人民日报@人民网@世界卫生组织@央视频@央视新闻@中国新闻社@中国政府网@中国青年报@中国之声@胡锡进@环球网监控	1
监控一删啥事没有这监控…	1
倒闭别办了	1
删监控就是有鬼	1
一问三不知，玛德	2
图片评论?评论配图	0
欲盖弥彰！如果人是自杀，按照正常逻辑，校方应该立即报警并通知家属，积极配合并做好自证自清安抚各方的工作。警方也应该积极调查取证，及时通知家属进展。可该事件家属却不是第一时间得到死讯，连死者面都没有见到。更不知道死亡时间、死亡原因…究竟要掩盖什么？为什么家属不能看到死者尸体？	3
背后真凶一定要下地狱	2
什么世道，人家的孩子都不让看么？天理何在？	3
学校出事了第一时间瞒报，糊弄家长，如何教书育人。	1
当事人的同学们，你们是不是被威胁了？不让上网说出真相，那就把真相打印出来贴满大街小巷的厕所里，没监控的地方！！！让全国人民都知道！	3
一问三不知	1
最后应该就是赔偿了事	1
学校遮遮掩掩的干嘛啊。真的好难理解，如果学校有责任你认为遮遮掩掩能逃掉吗，如果学校没有责任那又何必遮遮掩掩。	1
这学校的所作所为真的让人匪夷所思，冷血	1
监控永远在关键时刻坏，我真呵呵了…	1
#成都四十九中回应学生在校高坠离世#无论是何种原因、责任在谁，都应快速高效的将实际情况公之于众。在此之前有案例，公众未必会将矛盾对准学校。但如此简单粗暴的处理和回应方式，态度就让人难以接受，没有同理心。	1
透明啊，什么时候才能透明	1
什么都不知道你们到底知道个什么啊？！	2
真的讽刺，一个教书育人的学校整的跟个黑社会一样，现在扫黑除恶这么大力度，居然有条漏网之鱼在学校里	1
家长就在门口呢，你倒是赶紧接触啊	1
监控又坏了	0
监控会不会完整呢？若不完整就有很大问题！	1
孩子出事，学校单方面瞒着第一时间送去殡仪馆？学校有什么权利不让家长进校门见孩子？不让家长了解孩子出事的原因？学校还把监控视频删掉了？还态度蛮横说舆论和法律都不怕？回到古代了？恶霸横行天下？没钱没权人死了连申冤的地方都没有？	3
监控总是坏得这么及时？？	1
呵呵又是监控…这种学校最好哪一天校领导的孩子也这样死了	2
感觉大家有太多情绪需要发泄了...！！至少有个合理的解释！	1
什么世道……	3
本应教书育人的地方，却让学子看到最丧尽天良的一面	1
为什么关键时刻监控总是会坏	1
“我不知道啊我不知道啊我不知道啊”，混账东西	2
这件事太恶劣了，我想起来水浒传的武大郎！	2
2021年了，我在小说里都没看到过毁尸灭迹能做的如此理直气壮的。毁尸：没有经过监护人的同意，将被监护人直接拉入殡仪馆火化。灭迹：监控系统“选择性”丢失数据。在社会主义国家的法治社会，光明正大理直气壮地干着毁尸灭迹勾当的学校啊，牛逼的黑社会学校	2
希望凤凰一定要跟住此事！！	0
照你这么讲，每次出事买热搜算了	0
深表痛心就是家长也不告诉，不抢救直接拉火葬场烧了？牛逼	1
为凤凰网点赞?	0
领狗粮的叛国者毫无人性跟风被带节奏者愚蠢至极海浪退却真相揭露之时，是否还有人在意？他们只想看你剥开自己肚子，你吃了几碗粉重要吗？唯留下那一个个在阴暗角落里狞笑着嘴角含血的脸。靠出卖祖国换取的狗粮，即使带血却依旧香甜	2
